Stripe Distribution Report
  D_20_4 -> /mnt/nvme4/D_20_4
  G_20_1 -> /mnt/nvme2/G_20_1
  L_20_0 -> /mnt/nvme5/L_20_0

Node 02 distribution:
  D_1_3 -> /mnt/nvme3/D_1_3
  D_1_4 -> /mnt/nvme4/D_1_4
  L_1_0 -> /mnt/nvme5/L_1_0
  D_2_0 -> /mnt/nvme0/D_2_0
  D_2_1 -> /mnt/nvme1/D_2_1
  D_2_2 -> /mnt/nvme2/D_2_2
  D_3_3 -> /mnt/nvme3/D_3_3
  D_3_4 -> /mnt/nvme4/D_3_4
  G_3_0 -> /mnt/nvme2/G_3_0
  L_3_0 -> /mnt/nvme5/L_3_0
  D_4_0 -> /mnt/nvme0/D_4_0
  D_4_1 -> /mnt/nvme1/D_4_1
  D_4_2 -> /mnt/nvme2/D_4_2
  D_5_3 -> /mnt/nvme3/D_5_3
  D_5_4 -> /mnt/nvme4/D_5_4
  G_5_1 -> /mnt/nvme2/G_5_1
  L_5_0 -> /mnt/nvme5/L_5_0
  D_6_0 -> /mnt/nvme0/D_6_0
  D_6_1 -> /mnt/nvme1/D_6_1
  D_6_2 -> /mnt/nvme2/D_6_2
  D_7_3 -> /mnt/nvme3/D_7_3
  D_7_4 -> /mnt/nvme4/D_7_4
  L_7_0 -> /mnt/nvme5/L_7_0
  D_8_0 -> /mnt/nvme0/D_8_0
  D_8_1 -> /mnt/nvme1/D_8_1
  D_8_2 -> /mnt/nvme2/D_8_2
  D_9_3 -> /mnt/nvme3/D_9_3
  D_9_4 -> /mnt/nvme4/D_9_4
  L_9_0 -> /mnt/nvme5/L_9_0
  D_10_0 -> /mnt/nvme0/D_10_0
  D_10_1 -> /mnt/nvme1/D_10_1
  D_10_2 -> /mnt/nvme2/D_10_2
  D_11_3 -> /mnt/nvme3/D_11_3
  D_11_4 -> /mnt/nvme4/D_11_4
  L_11_0 -> /mnt/nvme5/L_11_0
  D_12_0 -> /mnt/nvme0/D_12_0
  D_12_1 -> /mnt/nvme1/D_12_1
  D_12_2 -> /mnt/nvme2/D_12_2
  D_13_3 -> /mnt/nvme3/D_13_3
  D_13_4 -> /mnt/nvme4/D_13_4
  G_13_0 -> /mnt/nvme2/G_13_0
  L_13_0 -> /mnt/nvme5/L_13_0
  D_14_0 -> /mnt/nvme0/D_14_0
  D_14_1 -> /mnt/nvme1/D_14_1
  D_14_2 -> /mnt/nvme2/D_14_2
  D_15_3 -> /mnt/nvme3/D_15_3
  D_15_4 -> /mnt/nvme4/D_15_4
  G_15_1 -> /mnt/nvme2/G_15_1
  L_15_0 -> /mnt/nvme5/L_15_0
  D_16_0 -> /mnt/nvme0/D_16_0
  D_16_1 -> /mnt/nvme1/D_16_1
  D_16_2 -> /mnt/nvme2/D_16_2
  D_17_3 -> /mnt/nvme3/D_17_3
  D_17_4 -> /mnt/nvme4/D_17_4
  L_17_0 -> /mnt/nvme5/L_17_0
  D_18_0 -> /mnt/nvme0/D_18_0
  D_18_1 -> /mnt/nvme1/D_18_1
  D_18_2 -> /mnt/nvme2/D_18_2
  D_19_3 -> /mnt/nvme3/D_19_3
  D_19_4 -> /mnt/nvme4/D_19_4
  L_19_0 -> /mnt/nvme5/L_19_0
  D_20_0 -> /mnt/nvme0/D_20_0
  D_20_1 -> /mnt/nvme1/D_20_1
  D_20_2 -> /mnt/nvme2/D_20_2

Node 03 distribution:
  G_1_1 -> /mnt/nvme4/G_1_1
  D_2_5 -> /mnt/nvme0/D_2_5
  D_2_6 -> /mnt/nvme1/D_2_6
  D_2_7 -> /mnt/nvme2/D_2_7
  D_2_8 -> /mnt/nvme3/D_2_8
  D_2_9 -> /mnt/nvme4/D_2_9
  L_2_1 -> /mnt/nvme5/L_2_1
  D_4_5 -> /mnt/nvme0/D_4_5
  D_4_6 -> /mnt/nvme1/D_4_6
  D_4_7 -> /mnt/nvme2/D_4_7
  D_4_8 -> /mnt/nvme3/D_4_8
  D_4_9 -> /mnt/nvme4/D_4_9
  L_4_1 -> /mnt/nvme5/L_4_1
  D_6_5 -> /mnt/nvme0/D_6_5
  D_6_6 -> /mnt/nvme1/D_6_6
  D_6_7 -> /mnt/nvme2/D_6_7
  D_6_8 -> /mnt/nvme3/D_6_8
  D_6_9 -> /mnt/nvme4/D_6_9
  L_6_1 -> /mnt/nvme5/L_6_1
  G_7_0 -> /mnt/nvme3/G_7_0
  D_8_5 -> /mnt/nvme0/D_8_5
  D_8_6 -> /mnt/nvme1/D_8_6
  D_8_7 -> /mnt/nvme2/D_8_7
  D_8_8 -> /mnt/nvme3/D_8_8
  D_8_9 -> /mnt/nvme4/D_8_9
  L_8_1 -> /mnt/nvme5/L_8_1
  G_9_1 -> /mnt/nvme4/G_9_1
  D_10_5 -> /mnt/nvme0/D_10_5
  D_10_6 -> /mnt/nvme1/D_10_6
  D_10_7 -> /mnt/nvme2/D_10_7
  D_10_8 -> /mnt/nvme3/D_10_8
  D_10_9 -> /mnt/nvme4/D_10_9
  L_10_1 -> /mnt/nvme5/L_10_1
  D_12_5 -> /mnt/nvme0/D_12_5
  D_12_6 -> /mnt/nvme1/D_12_6
  D_12_7 -> /mnt/nvme2/D_12_7
  D_12_8 -> /mnt/nvme3/D_12_8
  D_12_9 -> /mnt/nvme4/D_12_9
  L_12_1 -> /mnt/nvme5/L_12_1
  G_13_1 -> /mnt/nvme3/G_13_1
  D_14_5 -> /mnt/nvme0/D_14_5
  D_14_6 -> /mnt/nvme1/D_14_6
  D_14_7 -> /mnt/nvme2/D_14_7
  D_14_8 -> /mnt/nvme3/D_14_8
  D_14_9 -> /mnt/nvme4/D_14_9
  L_14_1 -> /mnt/nvme5/L_14_1
  D_16_5 -> /mnt/nvme0/D_16_5
  D_16_6 -> /mnt/nvme1/D_16_6
  D_16_7 -> /mnt/nvme2/D_16_7
  D_16_8 -> /mnt/nvme3/D_16_8
  D_16_9 -> /mnt/nvme4/D_16_9
  L_16_1 -> /mnt/nvme5/L_16_1
  G_17_1 -> /mnt/nvme4/G_17_1
  D_18_5 -> /mnt/nvme0/D_18_5
  D_18_6 -> /mnt/nvme1/D_18_6
  D_18_7 -> /mnt/nvme2/D_18_7
  D_18_8 -> /mnt/nvme3/D_18_8
  D_18_9 -> /mnt/nvme4/D_18_9
  L_18_1 -> /mnt/nvme5/L_18_1
  D_20_5 -> /mnt/nvme0/D_20_5
  D_20_6 -> /mnt/nvme1/D_20_6
  D_20_7 -> /mnt/nvme2/D_20_7
  D_20_8 -> /mnt/nvme3/D_20_8
  D_20_9 -> /mnt/nvme4/D_20_9
  L_20_1 -> /mnt/nvme5/L_20_1

Node 04 distribution:
  D_1_5 -> /mnt/nvme0/D_1_5
  D_1_6 -> /mnt/nvme1/D_1_6
  D_1_7 -> /mnt/nvme2/D_1_7
  D_1_8 -> /mnt/nvme3/D_1_8
  D_1_9 -> /mnt/nvme4/D_1_9
  L_1_1 -> /mnt/nvme5/L_1_1
  G_2_0 -> /mnt/nvme0/G_2_0
  D_3_5 -> /mnt/nvme0/D_3_5
  D_3_6 -> /mnt/nvme1/D_3_6
  D_3_7 -> /mnt/nvme2/D_3_7
  D_3_8 -> /mnt/nvme3/D_3_8
  D_3_9 -> /mnt/nvme4/D_3_9
  L_3_1 -> /mnt/nvme5/L_3_1
  D_5_5 -> /mnt/nvme0/D_5_5
  D_5_6 -> /mnt/nvme1/D_5_6
  D_5_7 -> /mnt/nvme2/D_5_7
  D_5_8 -> /mnt/nvme3/D_5_8
  D_5_9 -> /mnt/nvme4/D_5_9
  L_5_1 -> /mnt/nvme5/L_5_1
  G_6_0 -> /mnt/nvme0/G_6_0
  D_7_5 -> /mnt/nvme0/D_7_5
  D_7_6 -> /mnt/nvme1/D_7_6
  D_7_7 -> /mnt/nvme2/D_7_7
  D_7_8 -> /mnt/nvme3/D_7_8
  D_7_9 -> /mnt/nvme4/D_7_9
  L_7_1 -> /mnt/nvme5/L_7_1
  D_9_5 -> /mnt/nvme0/D_9_5
  D_9_6 -> /mnt/nvme1/D_9_6
  D_9_7 -> /mnt/nvme2/D_9_7
  D_9_8 -> /mnt/nvme3/D_9_8
  D_9_9 -> /mnt/nvme4/D_9_9
  L_9_1 -> /mnt/nvme5/L_9_1
  G_10_0 -> /mnt/nvme1/G_10_0
  D_11_5 -> /mnt/nvme0/D_11_5
  D_11_6 -> /mnt/nvme1/D_11_6
  D_11_7 -> /mnt/nvme2/D_11_7
  D_11_8 -> /mnt/nvme3/D_11_8
  D_11_9 -> /mnt/nvme4/D_11_9
  L_11_1 -> /mnt/nvme5/L_11_1
  D_13_5 -> /mnt/nvme0/D_13_5
  D_13_6 -> /mnt/nvme1/D_13_6
  D_13_7 -> /mnt/nvme2/D_13_7
  D_13_8 -> /mnt/nvme3/D_13_8
  D_13_9 -> /mnt/nvme4/D_13_9
  L_13_1 -> /mnt/nvme5/L_13_1
  G_14_0 -> /mnt/nvme0/G_14_0
  D_15_5 -> /mnt/nvme0/D_15_5
  D_15_6 -> /mnt/nvme1/D_15_6
  D_15_7 -> /mnt/nvme2/D_15_7
  D_15_8 -> /mnt/nvme3/D_15_8
  D_15_9 -> /mnt/nvme4/D_15_9
  L_15_1 -> /mnt/nvme5/L_15_1
  D_17_5 -> /mnt/nvme0/D_17_5
  D_17_6 -> /mnt/nvme1/D_17_6
  D_17_7 -> /mnt/nvme2/D_17_7
  D_17_8 -> /mnt/nvme3/D_17_8
  D_17_9 -> /mnt/nvme4/D_17_9
  L_17_1 -> /mnt/nvme5/L_17_1
  G_18_0 -> /mnt/nvme2/G_18_0
  D_19_5 -> /mnt/nvme0/D_19_5
  D_19_6 -> /mnt/nvme1/D_19_6
  D_19_7 -> /mnt/nvme2/D_19_7
  D_19_8 -> /mnt/nvme3/D_19_8
  D_19_9 -> /mnt/nvme4/D_19_9
  L_19_1 -> /mnt/nvme5/L_19_1

Node 05 distribution:
  D_2_10 -> /mnt/nvme0/D_2_10
  D_2_11 -> /mnt/nvme1/D_2_11
  D_2_12 -> /mnt/nvme2/D_2_12
  D_2_13 -> /mnt/nvme3/D_2_13
  D_2_14 -> /mnt/nvme4/D_2_14
  L_2_2 -> /mnt/nvme5/L_2_2
  G_3_1 -> /mnt/nvme3/G_3_1
  D_4_10 -> /mnt/nvme0/D_4_10
  D_4_11 -> /mnt/nvme1/D_4_11
  D_4_12 -> /mnt/nvme2/D_4_12
  D_4_13 -> /mnt/nvme3/D_4_13
  D_4_14 -> /mnt/nvme4/D_4_14
  L_4_2 -> /mnt/nvme5/L_4_2
  D_6_10 -> /mnt/nvme0/D_6_10
  D_6_11 -> /mnt/nvme1/D_6_11
  D_6_12 -> /mnt/nvme2/D_6_12
  D_6_13 -> /mnt/nvme3/D_6_13
  D_6_14 -> /mnt/nvme4/D_6_14
  L_6_2 -> /mnt/nvme5/L_6_2
  G_7_1 -> /mnt/nvme4/G_7_1
  D_8_10 -> /mnt/nvme0/D_8_10
  D_8_11 -> /mnt/nvme1/D_8_11
  D_8_12 -> /mnt/nvme2/D_8_12
  D_8_13 -> /mnt/nvme3/D_8_13
  D_8_14 -> /mnt/nvme4/D_8_14
  L_8_2 -> /mnt/nvme5/L_8_2
  D_10_10 -> /mnt/nvme0/D_10_10
  D_10_11 -> /mnt/nvme1/D_10_11
  D_10_12 -> /mnt/nvme2/D_10_12
  D_10_13 -> /mnt/nvme3/D_10_13
  D_10_14 -> /mnt/nvme4/D_10_14
  L_10_2 -> /mnt/nvme5/L_10_2
  G_11_0 -> /mnt/nvme3/G_11_0
  D_12_10 -> /mnt/nvme0/D_12_10
  D_12_11 -> /mnt/nvme1/D_12_11
  D_12_12 -> /mnt/nvme2/D_12_12
  D_12_13 -> /mnt/nvme3/D_12_13
  D_12_14 -> /mnt/nvme4/D_12_14
  L_12_2 -> /mnt/nvme5/L_12_2
  D_14_10 -> /mnt/nvme0/D_14_10
  D_14_11 -> /mnt/nvme1/D_14_11
  D_14_12 -> /mnt/nvme2/D_14_12
  D_14_13 -> /mnt/nvme3/D_14_13
  D_14_14 -> /mnt/nvme4/D_14_14
  L_14_2 -> /mnt/nvme5/L_14_2
  G_15_0 -> /mnt/nvme4/G_15_0
  D_16_10 -> /mnt/nvme0/D_16_10
  D_16_11 -> /mnt/nvme1/D_16_11
  D_16_12 -> /mnt/nvme2/D_16_12
  D_16_13 -> /mnt/nvme3/D_16_13
  D_16_14 -> /mnt/nvme4/D_16_14
  L_16_2 -> /mnt/nvme5/L_16_2
  D_18_10 -> /mnt/nvme0/D_18_10
  D_18_11 -> /mnt/nvme1/D_18_11
  D_18_12 -> /mnt/nvme2/D_18_12
  D_18_13 -> /mnt/nvme3/D_18_13
  D_18_14 -> /mnt/nvme4/D_18_14
  L_18_2 -> /mnt/nvme5/L_18_2
  G_19_0 -> /mnt/nvme3/G_19_0
  D_20_10 -> /mnt/nvme0/D_20_10
  D_20_11 -> /mnt/nvme1/D_20_11
  D_20_12 -> /mnt/nvme2/D_20_12
  D_20_13 -> /mnt/nvme3/D_20_13
  D_20_14 -> /mnt/nvme4/D_20_14
  L_20_2 -> /mnt/nvme5/L_20_2

Node 06 distribution:
  D_1_10 -> /mnt/nvme0/D_1_10
  D_1_11 -> /mnt/nvme1/D_1_11
  D_1_12 -> /mnt/nvme2/D_1_12
  D_1_13 -> /mnt/nvme3/D_1_13
  D_1_14 -> /mnt/nvme4/D_1_14
  L_1_2 -> /mnt/nvme5/L_1_2
  G_2_1 -> /mnt/nvme1/G_2_1
  D_3_10 -> /mnt/nvme0/D_3_10
  D_3_11 -> /mnt/nvme1/D_3_11
  D_3_12 -> /mnt/nvme2/D_3_12
  D_3_13 -> /mnt/nvme3/D_3_13
  D_3_14 -> /mnt/nvme4/D_3_14
  L_3_2 -> /mnt/nvme5/L_3_2
  D_5_10 -> /mnt/nvme0/D_5_10
  D_5_11 -> /mnt/nvme1/D_5_11
  D_5_12 -> /mnt/nvme2/D_5_12
  D_5_13 -> /mnt/nvme3/D_5_13
  D_5_14 -> /mnt/nvme4/D_5_14
  L_5_2 -> /mnt/nvme5/L_5_2
  G_6_1 -> /mnt/nvme1/G_6_1
  D_7_10 -> /mnt/nvme0/D_7_10
  D_7_11 -> /mnt/nvme1/D_7_11
  D_7_12 -> /mnt/nvme2/D_7_12
  D_7_13 -> /mnt/nvme3/D_7_13
  D_7_14 -> /mnt/nvme4/D_7_14
  L_7_2 -> /mnt/nvme5/L_7_2
  D_9_10 -> /mnt/nvme0/D_9_10
  D_9_11 -> /mnt/nvme1/D_9_11
  D_9_12 -> /mnt/nvme2/D_9_12
  D_9_13 -> /mnt/nvme3/D_9_13
  D_9_14 -> /mnt/nvme4/D_9_14
  L_9_2 -> /mnt/nvme5/L_9_2
  G_10_1 -> /mnt/nvme2/G_10_1
  D_11_10 -> /mnt/nvme0/D_11_10
  D_11_11 -> /mnt/nvme1/D_11_11
  D_11_12 -> /mnt/nvme2/D_11_12
  D_11_13 -> /mnt/nvme3/D_11_13
  D_11_14 -> /mnt/nvme4/D_11_14
  L_11_2 -> /mnt/nvme5/L_11_2
  D_13_10 -> /mnt/nvme0/D_13_10
  D_13_11 -> /mnt/nvme1/D_13_11
  D_13_12 -> /mnt/nvme2/D_13_12
  D_13_13 -> /mnt/nvme3/D_13_13
  D_13_14 -> /mnt/nvme4/D_13_14
  L_13_2 -> /mnt/nvme5/L_13_2
  G_14_1 -> /mnt/nvme1/G_14_1
  D_15_10 -> /mnt/nvme0/D_15_10
  D_15_11 -> /mnt/nvme1/D_15_11
  D_15_12 -> /mnt/nvme2/D_15_12
  D_15_13 -> /mnt/nvme3/D_15_13
  D_15_14 -> /mnt/nvme4/D_15_14
  L_15_2 -> /mnt/nvme5/L_15_2
  D_17_10 -> /mnt/nvme0/D_17_10
  D_17_11 -> /mnt/nvme1/D_17_11
  D_17_12 -> /mnt/nvme2/D_17_12
  D_17_13 -> /mnt/nvme3/D_17_13
  D_17_14 -> /mnt/nvme4/D_17_14
  L_17_2 -> /mnt/nvme5/L_17_2
  G_18_1 -> /mnt/nvme0/G_18_1
  D_19_10 -> /mnt/nvme0/D_19_10
  D_19_11 -> /mnt/nvme1/D_19_11
  D_19_12 -> /mnt/nvme2/D_19_12
  D_19_13 -> /mnt/nvme3/D_19_13
  D_19_14 -> /mnt/nvme4/D_19_14
  L_19_2 -> /mnt/nvme5/L_19_2

Node 07 distribution:
  D_2_15 -> /mnt/nvme0/D_2_15
  D_2_16 -> /mnt/nvme1/D_2_16
  D_2_17 -> /mnt/nvme2/D_2_17
  D_2_18 -> /mnt/nvme3/D_2_18
  D_2_19 -> /mnt/nvme4/D_2_19
  L_2_3 -> /mnt/nvme5/L_2_3
  D_4_15 -> /mnt/nvme0/D_4_15
  D_4_16 -> /mnt/nvme1/D_4_16
  D_4_17 -> /mnt/nvme2/D_4_17
  D_4_18 -> /mnt/nvme3/D_4_18
  D_4_19 -> /mnt/nvme4/D_4_19
  L_4_3 -> /mnt/nvme5/L_4_3
  G_5_0 -> /mnt/nvme4/G_5_0
  D_6_15 -> /mnt/nvme0/D_6_15
  D_6_16 -> /mnt/nvme1/D_6_16
  D_6_17 -> /mnt/nvme2/D_6_17
  D_6_18 -> /mnt/nvme3/D_6_18
  D_6_19 -> /mnt/nvme4/D_6_19
  L_6_3 -> /mnt/nvme5/L_6_3
  D_8_15 -> /mnt/nvme0/D_8_15
  D_8_16 -> /mnt/nvme1/D_8_16
  D_8_17 -> /mnt/nvme2/D_8_17
  D_8_18 -> /mnt/nvme3/D_8_18
  D_8_19 -> /mnt/nvme4/D_8_19
  L_8_3 -> /mnt/nvme5/L_8_3
  G_9_0 -> /mnt/nvme3/G_9_0
  D_10_15 -> /mnt/nvme0/D_10_15
  D_10_16 -> /mnt/nvme1/D_10_16
  D_10_17 -> /mnt/nvme2/D_10_17
  D_10_18 -> /mnt/nvme3/D_10_18
  D_10_19 -> /mnt/nvme4/D_10_19
  L_10_3 -> /mnt/nvme5/L_10_3
  G_11_1 -> /mnt/nvme4/G_11_1
  D_12_15 -> /mnt/nvme0/D_12_15
  D_12_16 -> /mnt/nvme1/D_12_16
  D_12_17 -> /mnt/nvme2/D_12_17
  D_12_18 -> /mnt/nvme3/D_12_18
  D_12_19 -> /mnt/nvme4/D_12_19
  L_12_3 -> /mnt/nvme5/L_12_3
  D_14_15 -> /mnt/nvme0/D_14_15
  D_14_16 -> /mnt/nvme1/D_14_16
  D_14_17 -> /mnt/nvme2/D_14_17
  D_14_18 -> /mnt/nvme3/D_14_18
  D_14_19 -> /mnt/nvme4/D_14_19
  L_14_3 -> /mnt/nvme5/L_14_3
  D_16_15 -> /mnt/nvme0/D_16_15
  D_16_16 -> /mnt/nvme1/D_16_16
  D_16_17 -> /mnt/nvme2/D_16_17
  D_16_18 -> /mnt/nvme3/D_16_18
  D_16_19 -> /mnt/nvme4/D_16_19
  L_16_3 -> /mnt/nvme5/L_16_3
  G_17_0 -> /mnt/nvme3/G_17_0
  D_18_15 -> /mnt/nvme0/D_18_15
  D_18_16 -> /mnt/nvme1/D_18_16
  D_18_17 -> /mnt/nvme2/D_18_17
  D_18_18 -> /mnt/nvme3/D_18_18
  D_18_19 -> /mnt/nvme4/D_18_19
  L_18_3 -> /mnt/nvme5/L_18_3
  G_19_1 -> /mnt/nvme4/G_19_1
  D_20_15 -> /mnt/nvme0/D_20_15
  D_20_16 -> /mnt/nvme1/D_20_16
  D_20_17 -> /mnt/nvme2/D_20_17
  D_20_18 -> /mnt/nvme3/D_20_18
  D_20_19 -> /mnt/nvme4/D_20_19
  L_20_3 -> /mnt/nvme5/L_20_3

Node 08 distribution:
  D_1_15 -> /mnt/nvme0/D_1_15
  D_1_16 -> /mnt/nvme1/D_1_16
  D_1_17 -> /mnt/nvme2/D_1_17
  D_1_18 -> /mnt/nvme3/D_1_18
  D_1_19 -> /mnt/nvme4/D_1_19
  L_1_3 -> /mnt/nvme5/L_1_3
  D_3_15 -> /mnt/nvme0/D_3_15
  D_3_16 -> /mnt/nvme1/D_3_16
  D_3_17 -> /mnt/nvme2/D_3_17
  D_3_18 -> /mnt/nvme3/D_3_18
  D_3_19 -> /mnt/nvme4/D_3_19
  L_3_3 -> /mnt/nvme5/L_3_3
  G_4_0 -> /mnt/nvme0/G_4_0
  D_5_15 -> /mnt/nvme0/D_5_15
  D_5_16 -> /mnt/nvme1/D_5_16
  D_5_17 -> /mnt/nvme2/D_5_17
  D_5_18 -> /mnt/nvme3/D_5_18
  D_5_19 -> /mnt/nvme4/D_5_19
  L_5_3 -> /mnt/nvme5/L_5_3
  D_7_15 -> /mnt/nvme0/D_7_15
  D_7_16 -> /mnt/nvme1/D_7_16
  D_7_17 -> /mnt/nvme2/D_7_17
  D_7_18 -> /mnt/nvme3/D_7_18
  D_7_19 -> /mnt/nvme4/D_7_19
  L_7_3 -> /mnt/nvme5/L_7_3
  G_8_0 -> /mnt/nvme2/G_8_0
  D_9_15 -> /mnt/nvme0/D_9_15
  D_9_16 -> /mnt/nvme1/D_9_16
  D_9_17 -> /mnt/nvme2/D_9_17
  D_9_18 -> /mnt/nvme3/D_9_18
  D_9_19 -> /mnt/nvme4/D_9_19
  L_9_3 -> /mnt/nvme5/L_9_3
  D_11_15 -> /mnt/nvme0/D_11_15
  D_11_16 -> /mnt/nvme1/D_11_16
  D_11_17 -> /mnt/nvme2/D_11_17
  D_11_18 -> /mnt/nvme3/D_11_18
  D_11_19 -> /mnt/nvme4/D_11_19
  L_11_3 -> /mnt/nvme5/L_11_3
  G_12_0 -> /mnt/nvme0/G_12_0
  D_13_15 -> /mnt/nvme0/D_13_15
  D_13_16 -> /mnt/nvme1/D_13_16
  D_13_17 -> /mnt/nvme2/D_13_17
  D_13_18 -> /mnt/nvme3/D_13_18
  D_13_19 -> /mnt/nvme4/D_13_19
  L_13_3 -> /mnt/nvme5/L_13_3
  D_15_15 -> /mnt/nvme0/D_15_15
  D_15_16 -> /mnt/nvme1/D_15_16
  D_15_17 -> /mnt/nvme2/D_15_17
  D_15_18 -> /mnt/nvme3/D_15_18
  D_15_19 -> /mnt/nvme4/D_15_19
  L_15_3 -> /mnt/nvme5/L_15_3
  G_16_0 -> /mnt/nvme0/G_16_0
  D_17_15 -> /mnt/nvme0/D_17_15
  D_17_16 -> /mnt/nvme1/D_17_16
  D_17_17 -> /mnt/nvme2/D_17_17
  D_17_18 -> /mnt/nvme3/D_17_18
  D_17_19 -> /mnt/nvme4/D_17_19
  L_17_3 -> /mnt/nvme5/L_17_3
  D_19_15 -> /mnt/nvme0/D_19_15
  D_19_16 -> /mnt/nvme1/D_19_16
  D_19_17 -> /mnt/nvme2/D_19_17
  D_19_18 -> /mnt/nvme3/D_19_18
  D_19_19 -> /mnt/nvme4/D_19_19
  L_19_3 -> /mnt/nvme5/L_19_3
  G_20_0 -> /mnt/nvme1/G_20_0

